Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.92903530|  PASSED
      diehard_operm5|   0|   1000000|     100|0.32092631|  PASSED
# The file file_input_raw was rewound 1 times
  diehard_rank_32x32|   0|     40000|     100|0.58308267|  PASSED
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.57030860|  PASSED
# The file file_input_raw was rewound 2 times
   diehard_bitstream|   0|   2097152|     100|0.97447726|  PASSED
# The file file_input_raw was rewound 4 times
        diehard_opso|   0|   2097152|     100|0.39637786|  PASSED
# The file file_input_raw was rewound 5 times
        diehard_oqso|   0|   2097152|     100|0.67895881|  PASSED
# The file file_input_raw was rewound 5 times
         diehard_dna|   0|   2097152|     100|0.03371870|  PASSED
# The file file_input_raw was rewound 5 times
diehard_count_1s_str|   0|    256000|     100|0.90142904|  PASSED
# The file file_input_raw was rewound 6 times
diehard_count_1s_byt|   0|    256000|     100|0.49908379|  PASSED
# The file file_input_raw was rewound 6 times
 diehard_parking_lot|   0|     12000|     100|0.16044273|  PASSED
# The file file_input_raw was rewound 6 times
    diehard_2dsphere|   2|      8000|     100|0.39754386|  PASSED
# The file file_input_raw was rewound 6 times
    diehard_3dsphere|   3|      4000|     100|0.13281206|  PASSED
# The file file_input_raw was rewound 8 times
     diehard_squeeze|   0|    100000|     100|0.19069257|  PASSED
# The file file_input_raw was rewound 8 times
        diehard_sums|   0|       100|     100|0.03653171|  PASSED
# The file file_input_raw was rewound 8 times
        diehard_runs|   0|    100000|     100|0.81558042|  PASSED
        diehard_runs|   0|    100000|     100|0.98783821|  PASSED
# The file file_input_raw was rewound 9 times
       diehard_craps|   0|    200000|     100|0.25018043|  PASSED
       diehard_craps|   0|    200000|     100|0.74523038|  PASSED
# The file file_input_raw was rewound 24 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00748791|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000386|   WEAK
# The file file_input_raw was rewound 24 times
         sts_monobit|   1|    100000|     100|0.52159285|  PASSED
# The file file_input_raw was rewound 24 times
            sts_runs|   2|    100000|     100|0.73414061|  PASSED
# The file file_input_raw was rewound 24 times
          sts_serial|   1|    100000|     100|0.98632603|  PASSED
          sts_serial|   2|    100000|     100|0.58258948|  PASSED
          sts_serial|   3|    100000|     100|0.72839068|  PASSED
          sts_serial|   3|    100000|     100|0.22312312|  PASSED
          sts_serial|   4|    100000|     100|0.94472074|  PASSED
          sts_serial|   4|    100000|     100|0.93099294|  PASSED
          sts_serial|   5|    100000|     100|0.97904432|  PASSED
          sts_serial|   5|    100000|     100|0.36614347|  PASSED
          sts_serial|   6|    100000|     100|0.93411430|  PASSED
          sts_serial|   6|    100000|     100|0.25521854|  PASSED
          sts_serial|   7|    100000|     100|0.98886469|  PASSED
          sts_serial|   7|    100000|     100|0.93881122|  PASSED
          sts_serial|   8|    100000|     100|0.86642790|  PASSED
          sts_serial|   8|    100000|     100|0.07035707|  PASSED
          sts_serial|   9|    100000|     100|0.03278992|  PASSED
          sts_serial|   9|    100000|     100|0.05945646|  PASSED
          sts_serial|  10|    100000|     100|0.63793494|  PASSED
          sts_serial|  10|    100000|     100|0.30941224|  PASSED
          sts_serial|  11|    100000|     100|0.20105274|  PASSED
          sts_serial|  11|    100000|     100|0.27200202|  PASSED
          sts_serial|  12|    100000|     100|0.87303827|  PASSED
          sts_serial|  12|    100000|     100|0.10354655|  PASSED
          sts_serial|  13|    100000|     100|0.77725623|  PASSED
          sts_serial|  13|    100000|     100|0.45102399|  PASSED
          sts_serial|  14|    100000|     100|0.99188007|  PASSED
          sts_serial|  14|    100000|     100|0.88035246|  PASSED
          sts_serial|  15|    100000|     100|0.97252566|  PASSED
          sts_serial|  15|    100000|     100|0.49267177|  PASSED
          sts_serial|  16|    100000|     100|0.72796521|  PASSED
          sts_serial|  16|    100000|     100|0.85545575|  PASSED
# The file file_input_raw was rewound 24 times
         rgb_bitdist|   1|    100000|     100|0.71545969|  PASSED
# The file file_input_raw was rewound 24 times
         rgb_bitdist|   2|    100000|     100|0.08558447|  PASSED
# The file file_input_raw was rewound 25 times
         rgb_bitdist|   3|    100000|     100|0.45269685|  PASSED
# The file file_input_raw was rewound 25 times
         rgb_bitdist|   4|    100000|     100|0.52685368|  PASSED
# The file file_input_raw was rewound 26 times
         rgb_bitdist|   5|    100000|     100|0.98225092|  PASSED
# The file file_input_raw was rewound 27 times
         rgb_bitdist|   6|    100000|     100|0.33106141|  PASSED
# The file file_input_raw was rewound 28 times
         rgb_bitdist|   7|    100000|     100|0.77910792|  PASSED
# The file file_input_raw was rewound 29 times
         rgb_bitdist|   8|    100000|     100|0.95030100|  PASSED
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   9|    100000|     100|0.98386892|  PASSED
# The file file_input_raw was rewound 32 times
