16 480 956 600 байт , целое, бинарный, 0, 256, byte, mshunko
C:\Users\User\rand>dieharder.exe -a -g 201 -f .\sts-2.1.2\kmsh.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|            .\sts-2.1.2\kmsh.bin|  5.63e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93714633|  PASSED
      diehard_operm5|   0|   1000000|     100|0.43621374|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.84987878|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.63992574|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.99041371|  PASSED
        diehard_opso|   0|   2097152|     100|0.49295076|  PASSED
        diehard_oqso|   0|   2097152|     100|0.29213572|  PASSED
         diehard_dna|   0|   2097152|     100|0.96062273|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.73909936|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.19061739|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.38931075|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.80662732|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.78575054|  PASSED
     diehard_squeeze|   0|    100000|     100|0.02664537|  PASSED
        diehard_sums|   0|       100|     100|0.11690431|  PASSED
        diehard_runs|   0|    100000|     100|0.45939000|  PASSED
        diehard_runs|   0|    100000|     100|0.86803660|  PASSED
       diehard_craps|   0|    200000|     100|0.61311372|  PASSED
       diehard_craps|   0|    200000|     100|0.34492885|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.23036524|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.78730120|  PASSED
         sts_monobit|   1|    100000|     100|0.94122896|  PASSED
            sts_runs|   2|    100000|     100|0.72688281|  PASSED
          sts_serial|   1|    100000|     100|0.33738420|  PASSED
          sts_serial|   2|    100000|     100|0.78861590|  PASSED
          sts_serial|   3|    100000|     100|0.26639599|  PASSED
          sts_serial|   3|    100000|     100|0.33385249|  PASSED
          sts_serial|   4|    100000|     100|0.08400245|  PASSED
          sts_serial|   4|    100000|     100|0.30790680|  PASSED
          sts_serial|   5|    100000|     100|0.05122592|  PASSED
          sts_serial|   5|    100000|     100|0.83761981|  PASSED
          sts_serial|   6|    100000|     100|0.36390450|  PASSED
          sts_serial|   6|    100000|     100|0.82274858|  PASSED
          sts_serial|   7|    100000|     100|0.63653558|  PASSED
          sts_serial|   7|    100000|     100|0.96832453|  PASSED
          sts_serial|   8|    100000|     100|0.88216696|  PASSED
          sts_serial|   8|    100000|     100|0.92829834|  PASSED
          sts_serial|   9|    100000|     100|0.84721190|  PASSED
          sts_serial|   9|    100000|     100|0.47796900|  PASSED
          sts_serial|  10|    100000|     100|0.13696936|  PASSED
          sts_serial|  10|    100000|     100|0.83045759|  PASSED
          sts_serial|  11|    100000|     100|0.48351435|  PASSED
          sts_serial|  11|    100000|     100|0.76537034|  PASSED
          sts_serial|  12|    100000|     100|0.03003836|  PASSED
          sts_serial|  12|    100000|     100|0.16130829|  PASSED
          sts_serial|  13|    100000|     100|0.07977995|  PASSED
          sts_serial|  13|    100000|     100|0.71329998|  PASSED
          sts_serial|  14|    100000|     100|0.21318393|  PASSED
          sts_serial|  14|    100000|     100|0.73850515|  PASSED
          sts_serial|  15|    100000|     100|0.98980735|  PASSED
          sts_serial|  15|    100000|     100|0.09285326|  PASSED
          sts_serial|  16|    100000|     100|0.38202619|  PASSED
          sts_serial|  16|    100000|     100|0.58189552|  PASSED
         rgb_bitdist|   1|    100000|     100|0.92102454|  PASSED
         rgb_bitdist|   2|    100000|     100|0.50440531|  PASSED
         rgb_bitdist|   3|    100000|     100|0.39310613|  PASSED
         rgb_bitdist|   4|    100000|     100|0.97685675|  PASSED
         rgb_bitdist|   5|    100000|     100|0.88576971|  PASSED
         rgb_bitdist|   6|    100000|     100|0.38502310|  PASSED
         rgb_bitdist|   7|    100000|     100|0.45632564|  PASSED
         rgb_bitdist|   8|    100000|     100|0.53076254|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   9|    100000|     100|0.88917774|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|  10|    100000|     100|0.71092691|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|  11|    100000|     100|0.49968501|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|  12|    100000|     100|0.62509820|  PASSED
# The file file_input_raw was rewound 1 times
rgb_minimum_distance|   2|     10000|    1000|0.06548162|  PASSED
# The file file_input_raw was rewound 1 times
rgb_minimum_distance|   3|     10000|    1000|0.16483264|  PASSED
# The file file_input_raw was rewound 1 times
rgb_minimum_distance|   4|     10000|    1000|0.51707833|  PASSED
# The file file_input_raw was rewound 1 times
rgb_minimum_distance|   5|     10000|    1000|0.90481512|  PASSED
# The file file_input_raw was rewound 1 times
    rgb_permutations|   2|    100000|     100|0.28654774|  PASSED
# The file file_input_raw was rewound 1 times
    rgb_permutations|   3|    100000|     100|0.25826956|  PASSED
# The file file_input_raw was rewound 1 times
    rgb_permutations|   4|    100000|     100|0.23015493|  PASSED
# The file file_input_raw was rewound 1 times
    rgb_permutations|   5|    100000|     100|0.26402703|  PASSED
# The file file_input_raw was rewound 1 times
      rgb_lagged_sum|   0|   1000000|     100|0.94099157|  PASSED
# The file file_input_raw was rewound 1 times
      rgb_lagged_sum|   1|   1000000|     100|0.04777584|  PASSED
# The file file_input_raw was rewound 1 times
