C:\Users\User\rand>dieharder.exe -a -g 201 -f kmsh.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        kmsh.bin|  5.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.51422996|  PASSED
      diehard_operm5|   0|   1000000|     100|0.01571004|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.01804558|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.00804697|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.05626902|  PASSED
        diehard_opso|   0|   2097152|     100|0.34927553|  PASSED
        diehard_oqso|   0|   2097152|     100|0.86536212|  PASSED
         diehard_dna|   0|   2097152|     100|0.99995313|   WEAK
diehard_count_1s_str|   0|    256000|     100|0.30361779|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.91478588|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.85781782|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.74839261|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.95644663|  PASSED
     diehard_squeeze|   0|    100000|     100|0.60838039|  PASSED
        diehard_sums|   0|       100|     100|0.01933247|  PASSED
        diehard_runs|   0|    100000|     100|0.91802418|  PASSED
        diehard_runs|   0|    100000|     100|0.10418160|  PASSED
       diehard_craps|   0|    200000|     100|0.06217876|  PASSED
       diehard_craps|   0|    200000|     100|0.59058701|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.71220193|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.70854570|  PASSED
         sts_monobit|   1|    100000|     100|0.62719954|  PASSED
            sts_runs|   2|    100000|     100|0.17496409|  PASSED
          sts_serial|   1|    100000|     100|0.62583222|  PASSED
          sts_serial|   2|    100000|     100|0.95318511|  PASSED
          sts_serial|   3|    100000|     100|0.57695455|  PASSED
          sts_serial|   3|    100000|     100|0.57067864|  PASSED
          sts_serial|   4|    100000|     100|0.35206629|  PASSED
          sts_serial|   4|    100000|     100|0.34110422|  PASSED
          sts_serial|   5|    100000|     100|0.18944686|  PASSED
          sts_serial|   5|    100000|     100|0.38785316|  PASSED
          sts_serial|   6|    100000|     100|0.87678675|  PASSED
          sts_serial|   6|    100000|     100|0.96273995|  PASSED
          sts_serial|   7|    100000|     100|0.73048298|  PASSED
          sts_serial|   7|    100000|     100|0.08072645|  PASSED
          sts_serial|   8|    100000|     100|0.85608076|  PASSED
          sts_serial|   8|    100000|     100|0.83098452|  PASSED
          sts_serial|   9|    100000|     100|0.63324354|  PASSED
          sts_serial|   9|    100000|     100|0.12083535|  PASSED
          sts_serial|  10|    100000|     100|0.54093483|  PASSED
          sts_serial|  10|    100000|     100|0.59305970|  PASSED
          sts_serial|  11|    100000|     100|0.81423007|  PASSED
          sts_serial|  11|    100000|     100|0.48918904|  PASSED
          sts_serial|  12|    100000|     100|0.88674212|  PASSED
          sts_serial|  12|    100000|     100|0.48420742|  PASSED
          sts_serial|  13|    100000|     100|0.65023907|  PASSED
          sts_serial|  13|    100000|     100|0.88060074|  PASSED
          sts_serial|  14|    100000|     100|0.09872850|  PASSED
          sts_serial|  14|    100000|     100|0.02197548|  PASSED
          sts_serial|  15|    100000|     100|0.10028617|  PASSED
          sts_serial|  15|    100000|     100|0.85847910|  PASSED
          sts_serial|  16|    100000|     100|0.51949116|  PASSED
          sts_serial|  16|    100000|     100|0.11442905|  PASSED
         rgb_bitdist|   1|    100000|     100|0.60411603|  PASSED
         rgb_bitdist|   2|    100000|     100|0.41840032|  PASSED
         rgb_bitdist|   3|    100000|     100|0.26837497|  PASSED
         rgb_bitdist|   4|    100000|     100|0.44251218|  PASSED
         rgb_bitdist|   5|    100000|     100|0.10212331|  PASSED
         rgb_bitdist|   6|    100000|     100|0.90665800|  PASSED
         rgb_bitdist|   7|    100000|     100|0.48318183|  PASSED
         rgb_bitdist|   8|    100000|     100|0.51708631|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   9|    100000|     100|0.59544870|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|  10|    100000|     100|0.48410116|  PASSED
# The file file_input_raw was rewound 1 times
         rgb_bitdist|  11|    100000|     100|0.24895380|  PASSED
# The file file_input_raw was rewound 1 times
