============================================================
  Parallel BigCrush -- perfect_random
  Tests: 106  x  2 (fwd+rev)  =  212 tasks
  Workers: 5  Seed: 49  Period: 73.8
  Repeats: 1
============================================================
  [OK]   #  3 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^21 t=2  (284s)
  [OK]   #  1 FWD  smarsa_SerialOver N=1 n=10^9 r=0 d=256 t=3  (295s)
  [OK]   #  1 REV  smarsa_SerialOver N=1 n=10^9 r=0 d=256 t=3  (296s)
  [OK]   #  2 FWD  smarsa_SerialOver N=1 n=10^9 r=22 d=256 t=3  (299s)
  [OK]   #  2 REV  smarsa_SerialOver N=1 n=10^9 r=22 d=256 t=3  (300s)
  [OK]   #  3 REV  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^21 t=2  (602s)
  [OK]   #  4 FWD  smarsa_CollisionOver N=30 n=2e7 r=9 d=2^21 t=2  (607s)
  [OK]   #  4 REV  smarsa_CollisionOver N=30 n=2e7 r=9 d=2^21 t=2  (608s)
  [OK]   #  5 REV  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^14 t=3  (655s)
  [OK]   #  5 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^14 t=3  (656s)
  [OK]   #  6 FWD  smarsa_CollisionOver N=30 n=2e7 r=16 d=2^14 t=3  (979s)
  [OK]   #  7 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=64 t=7  (983s)
  [OK]   #  6 REV  smarsa_CollisionOver N=30 n=2e7 r=16 d=2^14 t=3  (986s)
  [OK]   #  7 REV  smarsa_CollisionOver N=30 n=2e7 r=0 d=64 t=7  (1033s)
  [OK]   #  8 FWD  smarsa_CollisionOver N=30 n=2e7 r=24 d=64 t=7  (1035s)
  [OK]   #  8 REV  smarsa_CollisionOver N=30 n=2e7 r=24 d=64 t=7  (1352s)
  [OK]   #  9 REV  smarsa_CollisionOver N=30 n=2e7 r=0 d=8 t=14  (1352s)
  [OK]   #  9 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=8 t=14  (1354s)
  [OK]   # 10 REV  smarsa_CollisionOver N=30 n=2e7 r=27 d=8 t=14  (1397s)
  [OK]   # 10 FWD  smarsa_CollisionOver N=30 n=2e7 r=27 d=8 t=14  (1404s)
  [OK]   # 12 FWD  smarsa_CollisionOver N=30 n=2e7 r=28 d=2^28 t=2  (1702s)
  [OK]   # 11 REV  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^28 t=2  (1702s)
  [OK]   # 11 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^28 t=2  (1704s)
  [OK]   # 12 REV  smarsa_CollisionOver N=30 n=2e7 r=28 d=2^28 t=2  (1741s)
  [OK]   # 13 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=4 t=21  (1962s)
  [OK]   # 14 REV  smarsa_CollisionOver N=30 n=2e7 r=28 d=4 t=21  (2004s)
  [OK]   # 14 FWD  smarsa_CollisionOver N=30 n=2e7 r=28 d=4 t=21  (2004s)
  [OK]   # 13 REV  smarsa_CollisionOver N=30 n=2e7 r=0 d=4 t=21  (2251s)
  [OK]   # 15 FWD  smarsa_BirthdaySpacings N=20 n=3e7 r=14 d=2^16 t=4 p=1  (2321s)
  [OK]   # 15 REV  smarsa_BirthdaySpacings N=20 n=3e7 r=14 d=2^16 t=4 p=1  (2547s)
  [OK]   # 16 REV  smarsa_BirthdaySpacings N=20 n=2e7 r=0 d=512 t=7 p=1  (2628s)
  [OK]   # 16 FWD  smarsa_BirthdaySpacings N=20 n=2e7 r=0 d=512 t=7 p=1  (2629s)
  [OK]   # 17 FWD  smarsa_BirthdaySpacings N=20 n=2e7 r=7 d=512 t=7 p=1  (2882s)
  [OK]   # 17 REV  smarsa_BirthdaySpacings N=20 n=2e7 r=7 d=512 t=7 p=1  (2951s)
  [OK]   # 18 FWD  smarsa_BirthdaySpacings N=20 n=3e7 r=14 d=256 t=8 p=1  (3620s)
  [OK]   # 19 FWD  smarsa_BirthdaySpacings N=20 n=3e7 r=22 d=256 t=8 p=1  (3701s)
